OTU;taxo_1;taxo_2;taxo_3;genus;specie;taxo_3;genus;specie;LSA_feb_16;LCL_feb_16;LSC_aug_16;LCT_oct_16;LCL_sep_16;LSA_oct_16;LSC_may_16;LSA_aug_16;LSC_oct_16;LCT_jul_17;LCL_nov_16;LCL_jul_17;LSA_may_17;LSC_feb_17;LCL_sep_17_F;LCL_sep_17;LCT_sep_17;LCT_sep_17_F;LSA_sep_17;LSA_sep_17_F;LSC_24_aug_17;LSC_jul_17;LSC_jul_17_F;LSC_31_aug_17;LSC_31_aug_17_F;LCL_jul_17_F;LCT_jul_17_F;LCL_may_17;LCL_mar_17;LSC_mar_17;LCL_jan_17;LCT_mar_17;LSA_feb_17;LCL_feb_17;LCT_jan_17;LCT_feb_17;LSA_mar_17;LSC_may_17;LSA_jan_17;LSC_jan_17;LCT_may_17;LSC_mar_16;LSA_jul_17
533;Eukaryota;Stramenopiles;Ochrophyta;Dinobryon;sociale;Chrysophyta;Dinobryon;sociale;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;4;16;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
730;Eukaryota;Stramenopiles;Ochrophyta;Dinobryon;sociale;Chrysophyta;Dinobryon;sociale;0;0;3;9;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;15;49;11;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
720;Eukaryota;Stramenopiles;Ochrophyta;Epipyxis;pulchra;Chrysophyta;Epipyxis;pulchra;0;0;0;18;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
425;Eukaryota;Stramenopiles;Ochrophyta;Mallomonas;akrokomos;Chrysophyta;Mallomonas;akrokomos;0;0;0;0;0;0;0;1;0;0;8;1;0;0;91;5;0;0;0;0;0;0;0;0;0;13;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
180;Eukaryota;Stramenopiles;Ochrophyta;Mallomonas;caudata;Chrysophyta;Mallomonas;caudata;0;0;2;7;0;0;2;0;6;0;0;0;0;0;42;105;0;2;0;0;1;1;0;1;0;0;6;0;0;0;0;0;0;0;1;1;0;0;0;0;3;0;0
287;Eukaryota;Stramenopiles;Ochrophyta;Mallomonas;caudata;Chrysophyta;Mallomonas;caudata;0;0;6;10;0;0;3;0;4;0;1;0;0;0;66;399;0;1;0;0;0;2;4;0;1;4;40;0;0;0;0;0;0;0;15;6;0;0;0;0;7;0;0
729;Eukaryota;Stramenopiles;Ochrophyta;Mallomonas;caudata;Chrysophyta;Mallomonas;caudata;0;0;3;5;0;0;0;0;2;0;0;0;0;0;20;89;0;0;0;0;0;1;1;0;0;1;12;0;0;0;0;1;0;0;4;0;0;0;0;0;2;0;0
725;Eukaryota;Stramenopiles;Ochrophyta;Mallomonas;heterospina;Chrysophyta;Mallomonas;heterospina;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;37;0;0;0;4;0;3;0;0;0;0;0
362;Eukaryota;Stramenopiles;Ochrophyta;Mallomonas;tonsurata;Chrysophyta;Mallomonas;tonsurata;0;0;6;0;31;0;1;4;1;0;22;5;0;0;8;16;0;0;1;0;0;3;1;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
246;Eukaryota;Stramenopiles;Ochrophyta;Spumella;vulgaris;Ochrophyta_uncl;Spumella;vulgaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;178;0;0;0;0;0;0
253;Eukaryota;Stramenopiles;Ochrophyta;Synura;mammillosa;Chrysophyta;Synura;mammillosa;0;0;108;0;0;0;13;0;0;0;0;0;0;6;0;0;0;0;0;0;93;1;5;8;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
291;Eukaryota;Stramenopiles;Ochrophyta;Synura;mammillosa;Chrysophyta;Synura;mammillosa;0;0;54;0;0;0;9;0;0;0;0;0;0;4;0;0;0;0;0;0;33;1;3;7;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
567;Eukaryota;Stramenopiles;Ochrophyta;Synura;mammillosa;Chrysophyta;Synura;mammillosa;0;0;0;0;0;0;58;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;Eukaryota;Stramenopiles;Ochrophyta;Synura;mollispina;Chrysophyta;Synura;mollispina;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;452;0;1;3657;2422;0;0;0;3;0;0;0
628;Eukaryota;Stramenopiles;Ochrophyta;Synura;mollispina;Chrysophyta;Synura;mollispina;0;0;0;0;0;0;2;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;2;0;3;0;0;2;3;0;0;0;5;0;0;0
707;Eukaryota;Stramenopiles;Ochrophyta;Synura;mollispina;Chrysophyta;Synura;mollispina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;8;18;0;0;0;0;0;0;0
709;Eukaryota;Stramenopiles;Ochrophyta;Synura;mollispina;Chrysophyta;Synura;mollispina;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;74;0;0;138;130;0;0;0;1;0;0;0
176;Eukaryota;Stramenopiles;Ochrophyta;Synura;petersenii;Chrysophyta;Synura;petersenii;0;0;0;0;0;0;6;0;0;0;0;0;0;513;0;0;0;0;0;0;7;0;2;0;0;0;0;0;0;50;0;0;0;0;1;1;0;3;0;2497;0;7;0
217;Eukaryota;Stramenopiles;Ochrophyta;Synura;petersenii;Chrysophyta;Synura;petersenii;0;0;0;0;0;0;4;0;0;0;38;0;0;24;5;0;0;0;0;0;17;1;4;2;12;298;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0
211;Eukaryota;Stramenopiles;Ochrophyta;Synura;sphagnicola;Chrysophyta;Synura;sphagnicola;0;0;117;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;55;5;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
370;Eukaryota;Stramenopiles;Ochrophyta;Synura;sphagnicola;Chrysophyta;Synura;sphagnicola;0;0;72;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;28;4;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;Eukaryota;Stramenopiles;Ochrophyta;Uroglena;americana;Chrysophyta;Uroglena;americana;0;0;442;20;0;0;22;0;22;17;0;0;0;0;0;0;12;0;0;0;40;270;27;7;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0
345;Eukaryota;Stramenopiles;Ochrophyta;Urosolenia;eriensis;Chrysophyta;Urosolenia;eriensis;0;0;2;0;0;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;4;1;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
544;Eukaryota;Stramenopiles;Ochrophyta;Urosolenia;eriensis;Chrysophyta;Urosolenia;eriensis;0;0;4;1;0;0;32;0;12;1;0;0;8;0;0;0;8;0;0;0;2;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0
