OTU;taxo1;taxo2;taxo3;taxo4;taxo5;taxo6;taxo7;taxo8;LSA_feb_16;LCL_feb_16;LSC_aug_16;LCT_oct_16;LCL_sep_16;LSA_oct_16;LSC_may_16;LSA_aug_16;LSC_oct_16;LCT_jul_17;LCL_nov_16;LCL_jul_17;LSA_may_17;LSC_feb_17;LCL_sep_17_F;LCL_sep_17;LCT_sep_17;LCT_sep_17_F;LSA_sep_17;LSA_sep_17_F;LSC_24_aug_17;LSC_jul_17;LSC_jul_17_F;LSC_31_aug_17;LSC_31_aug_17_F;LCL_jul_17_F;LCT_jul_17_F;LCL_may_17;LCL_mar_17;LSC_mar_17;LCL_jan_17;LCT_mar_17;LSA_feb_17;LCL_feb_17;LCT_jan_17;LCT_feb_17;LSA_mar_17;LSC_may_17;LSA_jan_17;LSC_jan_17;LCT_may_17;LSC_mar_16;LSA_jul_17
531;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Porphyrobacter;Unclassified;Unclassified;0;0;1;0;141;0;0;4;0;0;0;104;0;0;3;25;0;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
871;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter;Unclassified;Unclassified;0;1;3;0;16;0;0;0;1;0;8;3;0;0;1;5;0;0;0;0;12;12;2;1;1;3;0;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0
316;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter;Unclassified;Unclassified;0;1;6;0;99;13;0;1;0;0;69;28;1;0;57;279;0;0;3;3;0;0;0;1;2;13;1;2;0;0;8;0;1;2;0;0;1;0;0;0;0;0;0
187;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter;Unclassified;Unclassified;1;2;29;1;15;38;7;2;45;1;69;5;0;0;14;54;1;2;22;32;65;31;5;13;32;9;10;50;266;9;172;17;1;101;18;6;5;15;1;2;0;0;0
558;Bacteria;Cyanobacteria;Oxyphotobacteria;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena;PCC-7429;Unclassified;0;0;3;0;0;4;103;0;0;5;1;0;3;0;0;1;3;0;0;0;4;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;7;0;0;1;0;3
31;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Pseudarcicella;Unclassified;Unclassified;0;209;87;640;65;25;953;138;170;176;141;5;42;83;7;16;11;8;18;15;15;4;3;5;17;13;7;256;22;62;22;31;1;91;113;9;2;193;1;9;74;1479;8
369;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanosprillales;Pseudohongiellaceae;Pseudohongiella;Unclassified;Unclassified;1;122;0;0;0;0;0;0;0;0;6;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;24;0;166;0;152;124;0;0;25;0;11;0;0;0;0
398;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanosprillales;Pseudohongiellaceae;Pseudohongiella;Unclassified;Unclassified;0;0;0;0;0;22;0;8;0;0;0;0;0;0;0;0;0;0;133;176;0;0;0;0;0;0;1;0;0;0;0;0;16;0;0;0;1;0;13;0;0;0;17
681;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Unclassified;Unclassified;0;5;0;37;0;3;11;1;3;0;11;1;3;20;0;0;6;89;0;0;11;0;0;1;1;0;20;5;9;5;2;10;1;3;3;5;154;3;1;0;0;11;0
142;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudorhodobacter;Unclassified;Unclassified;3;2;3;0;678;2;1;0;0;0;43;33;0;1;13;50;0;0;1;0;2;0;0;0;0;1;0;90;0;0;1;0;0;2;0;0;0;3;0;0;0;2;0
726;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Cherax;quadricarinatus;Unclassified;Unclassified;0;2;2;10;0;0;0;0;8;0;0;0;0;1;0;0;10;1;0;1;0;0;3;1;3;2;66;8;0;0;0;1;0;1;0;6;0;0;0;0;11;0;0
655;Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae;Reyranella;Unclassified;Unclassified;0;1;0;0;0;0;4;0;2;0;3;0;0;66;0;0;0;0;0;0;0;0;3;0;2;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;3;0
639;Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae;Reyranella;Unclassified;Unclassified;12;102;1;2;1;11;14;2;5;1;32;1;30;63;1;0;0;0;0;0;6;0;4;0;1;3;20;1;16;2;6;0;15;4;0;0;14;3;15;0;0;3;0
152;Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae;Reyranella;Unclassified;Unclassified;130;455;0;0;40;237;25;20;0;0;615;3;430;68;7;14;0;0;1;7;1;0;0;0;1;12;1;12;144;0;47;0;130;17;0;0;14;4;101;1;0;1;28
753;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Rheinheimera;Unclassified;Unclassified;0;0;0;0;0;0;0;12;0;0;1;0;0;0;1;2;0;0;2;2;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
253;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Rhizorhapis;Unclassified;Unclassified;0;0;30;128;219;7;24;149;11;26;69;0;0;1;0;6;11;1;12;9;1;3;3;3;2;2;1;114;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1
826;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Unclassified;Unclassified;5;21;15;6;12;1;52;0;13;4;62;8;2;26;0;3;1;0;0;0;1;3;4;0;1;5;3;42;3;5;9;8;0;10;5;0;10;71;2;1;4;236;0
